@T,table
Created,2016-04-08 18:10
Author,HortonMachine library
@H,timestamp,value_86
ID,,86
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2007-10-17 00:00,-9999
,2007-10-17 01:00,-9999
,2007-10-17 02:00,-9999
,2007-10-17 03:00,-9999
,2007-10-17 04:00,-9999
,2007-10-17 05:00,-9999
,2007-10-17 06:00,0.10790623189611169
,2007-10-17 07:00,0.13046473668876382
,2007-10-17 08:00,0.1956505342645356
,2007-10-17 09:00,0.359699866479388
,2007-10-17 10:00,0.22762715040724116
,2007-10-17 11:00,0.13820654271055274
,2007-10-17 12:00,0.14039162638977098
,2007-10-17 13:00,0.12507637691647885
,2007-10-17 14:00,0.14331237283794152
,2007-10-17 15:00,0.1425594345143601
,2007-10-17 16:00,0.059641022486292036
,2007-10-17 17:00,0.053953115948055255
,2007-10-17 18:00,-9999
,2007-10-17 19:00,-9999
,2007-10-17 20:00,-9999
,2007-10-17 21:00,-9999
,2007-10-17 22:00,-9999
,2007-10-17 23:00,-9999
,2007-10-18 00:00,-9999

